ID,sex,age,marital,Q4,Q5,Q6,Q7,Q15,Q16,Q17,Q18,Q21,Q19,Q24,Q25,Q101_1,Q101_2,Q101_3,Q101_4,Q101_5,Q101_6,Q101_7,Q101_8,Q101_9,Q101_10,Q101_11,Q101_12,Q101_13,Q101_14,Q101_15,Q101_16,Q101_17,Q101_18,Q101_19,Q101_20,Q48,Q95_1,Q95_2,Q95_3,Q95_4,Q95_5,Q95_6,Q95_7,Q95_8,Q95_9,Q95_10,Q95_11,Q95_12,Q95_13,Q95_14,Q95_15,source01
1351,2,20,2,1,3,2,2,2, ,2, ,2,3,1,3,1,0,4,4,5,2,4,4,2,4,4,4,1,4,1,4,4,3,3,2,2,2,4,4,4,5,5,4,4,4,2,2,4,2,3,3,1
1391,2,20,2,1,3,1,2,1, ,2, ,2,9,2,2,0,0,5,5,4,3,3,3,2,1,3,3,3,5,2,3,4,2,3,3,3,3,4,4,5,4,5,5,5,5,4,4,5,4,4,3,1
1141,2,21,2,1,2,2,2,2,2,2,2,2,1,4,2,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,3,4,3,2,5,4,3,5,3,3,3,1
1151,2,21,2,1,2,3,2,1,2,2,2,2,2,2,2,1,0,3,3,2,1,1,2,3,3,2,3,2,3,3,3,3,3,2,2,3,3,2,3,4,3,4,3,4,4,3,3,4,3,4,3,1
1180,2,21,3,1,2,1,1,2, ,2, ,2,9,1,1,1,0,3,2,4,2,2,3,2,5,2,2,1,1,1,1,1,1,2,2,3,3,3,3,2,2,3,2,3,2,3,3,3,3,3,3,1
1250,1,21,2,1,2,3,2,1,2,2,2,2,2,2,3,1,0,3,3,1,2,3,3,2,2,2,2,2,3,2,3,3,2,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,3,3,1
1254,2,21,3,1,2,3,2, ,2,2, ,2,2, ,4,1,0,4,3,2,2,3,3,3,1,1,1,1,1,1,1,1,1,2,1,4,3,4,2,4,1,3,2,3,4,2,2,5,3,5,3,1
1304,1,21,2,1,3,2,2,1,2,1,2,2,3,3,1,0,0,4,4,3,2,3,3,3,2,1,1,2,3,1,3,3,1,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1319,1,21,2,1,2,1,2,2, ,2, ,2,2,3,3,0,0,3,5,5,2,4,5,3,2,2,4,1,4,1,5,5,2,4,1,1,4,2,3,4,5,4,3,3,5,3,3,3,3,4,3,1
1153,2,22,2,1,3,2,2,1,1,2,2,2,1,3,3,1,0,3,4,2,1,4,3,2,1,1,3,1,2,1,1,3,1,2,1,4,1,4,2,4,3,4,4,4,4,4,4,4,2,5,3,1
1227,2,22,2,1,2,2,1,1,2,2,2,2,9,2,2,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,1
1247,1,22,1,1,2,1,1,1,1,1,1,1,1,3,1,1,0,4,4,2,5,5,4,2,3,4,2,1,1,1,1,3,1,2,1,2,2,2,2,3,4,4,4,3,4,2,4,2,2,3,3,1
1325,1,22,2,1,2,3,2,1,2,1,2,2,9,3,5,1,0,4,3,2,3,3,3,3,2,2,2,2,4,2,4,3,2,3,3,5,2,4,2,4,3,4,3,3,3,2,2,2,2,4,3,1
